documentid,Book,quizurl,bookurl,
,ADAM BEDE George Eliot,,https://www.gutenberg.org/files/507/507-0.txt,
,THE ADVENTURES OF HUCKLEBERRY FINN Mark Twain,https://www.sparknotes.com/lit/huckfinn/quiz/,http://www.gutenberg.org/cache/epub/32325/pg32325.txt,
,THE ADVENTURES OF TOM SAWYER Mark Twain,https://www.sparknotes.com/lit/tomsawyer/quiz/,,
,AENEID Virgil,https://www.sparknotes.com/lit/aeneid/quiz/,https://www.gutenberg.org/files/228/228-0.txt,
,"AGAMEMNON, THE CHOEPHORI, AND THE EUMENIDES Aeschylus",https://www.sparknotes.com/lit/agamemnon/summary/?quickquiz_id=2268,http://www.gutenberg.org/cache/epub/14417/pg14417.txt,
e2ad3b91abda132c04c65f7b93559d2ff23b1cac,THE AGE OF INNOCENCE Edith Wharton,https://www.sparknotes.com/lit/ageofinnocence/summary/?quickquiz_id=2279,,
,ALICE'S ADVENTURES IN WONDERLAND Lewis Carroll,https://www.sparknotes.com/lit/alice/quiz/,https://www.gutenberg.org/files/11/11-0.txt,
,ALL'S WELL THAT ENDS WELL William Shakespeare,https://www.sparknotes.com/shakespeare/allswell/quiz/,http://www.gutenberg.org/cache/epub/2246/pg2246.txt,
,ANIMAL FARM George Orwell,https://www.sparknotes.com/lit/animalfarm/characters/?quickquiz_id=328,,
6bb78f3d321f2a5b63edf9ffcfb4900f73ecd4dc,ANNA KARENINA Leo Tolstoy,https://www.sparknotes.com/lit/anna/quiz/,,
6b94891a91a8eeb5618a0575d341338cf0d9a82f,ANTHEM Ayn Rand,https://www.sparknotes.com/lit/anthem/quiz/,,
,ANTONY AND CLEOPATRA William Shakespeare,https://www.sparknotes.com/shakespeare/antony/quiz/,http://www.gutenberg.org/cache/epub/2268/pg2268.txt,
,ARMS AND THE MAN George Bernard Shaw,https://www.sparknotes.com/lit/arms-and-the-man/quiz/,http://www.gutenberg.org/cache/epub/3618/pg3618.txt,
83351acb498ae98e3b652dcbcdc3a615e83e2f63,AS YOU LIKE IT William Shakespeare,https://www.sparknotes.com/shakespeare/asyoulikeit/quiz/,,
,ATLAS SHRUGGED Ayn Rand,https://www.sparknotes.com/lit/atlasshrugged/quiz/,,
,THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN Benjamin Franklin,https://www.sparknotes.com/lit/franklinautobio/quiz/,http://www.gutenberg.org/cache/epub/148/pg148.txt,
30e4ebaa85c10ecdea85e7e7fce9c8c3e86081dc,THE AWAKENING Kate Chopin,https://www.sparknotes.com/lit/awakening/quiz/,,
,BABBITT Sinclair Lewis,https://www.sparknotes.com/lit/babbitt/quiz/,https://www.gutenberg.org/files/1156/1156-0.txt,
,,,,
e5a717d519b7648ce17e3f1f78dd4ba0548c8338,BEOWULF Anonymous,https://www.sparknotes.com/lit/beowulf/quiz/,,
57523a482ae81616899feaff7497fa962edef9b6,BLEAK HOUSE Charles Dickens,https://www.sparknotes.com/lit/bleakhouse/quiz/,,
,THE BROTHERS KARAMAZOV Fyodor Dostoevsky,https://www.sparknotes.com/lit/brothersk/quiz/,https://www.gutenberg.org/files/28054/28054-0.txt,
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,THE CALL OF THE WILD Jack London,https://www.sparknotes.com/lit/call/quiz/,,
,,,,
,THE CANTERBURY TALES Geoffrey Chaucer,,,
,COMEDY OF ERRORS William Shakespeare,,,
,A CONNECTICUT YANKEE IN KING ARTHUR'S COURT Mark Twain,,,
,THE COUNT OF MONTE CRISTO Alexandre Dumas,https://www.sparknotes.com/lit/montecristo/quiz/,https://www.gutenberg.org/files/1184/1184-0.txt,
,CRIME AND PUNISHMENT Fyodor Dostoevsky,https://www.sparknotes.com/lit/crime/quiz/,,
,CYRANO DE BERGERAC Edmond Rostand,https://www.sparknotes.com/lit/cyrano/quiz/,http://www.gutenberg.org/cache/epub/1254/pg1254.txt,
604973478b38d259afd9aa46cfcf3ef652e4e41e,DAISY MILLER Henry James,,,
5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,DAVID COPPERFIELD Charles Dickens,,,
ab1da932cda3b43d4b44a7083b23787b62f4526c,THE DEERSLAYER James Fenimore Cooper,,,
,A DOLL'S HOUSE Henrik Ibsen,https://www.sparknotes.com/lit/dollhouse/quiz/,,
,,,,
,DON QUIXOTE Miguel de Cervantes,https://www.sparknotes.com/lit/donquixote/quiz/,https://www.gutenberg.org/files/996/996-0.txt,
cb1ea1bb22437d7f239b7748e4dfe59258157e14,DRACULA Bram Stoker,https://www.sparknotes.com/lit/dracula/quiz/,,
,DUBLINERS James Joyce,https://www.sparknotes.com/lit/dubliners/quiz/,https://www.gutenberg.org/files/2814/2814-0.txt,
,AN ENEMY OF THE PEOPLE Henrik Ibsen,https://www.sparknotes.com/lit/enemyofthepeople/quiz/,,
,ETHAN FROME Edith Wharton,,https://www.gutenberg.org/files/4517/4517-0.txt,
651a041fdae2f242a0b254eeb7fe1526fc2e093a,FAR FROM THE MADDING CROWD Thomas Hardy,https://www.sparknotes.com/lit/maddingcrowd/quiz/,,
,,,,
,,,,
,FRANKENSTEIN Mary Shelley,https://www.sparknotes.com/lit/frankenstein/quiz/,https://www.gutenberg.org/files/84/84-0.txt,
,GHOSTS Henrik Ibsen,,,
934fbd3acf4433a952b49cfc004dd2b363b57faf,GREAT EXPECTATIONS Charles Dickens,https://www.sparknotes.com/lit/greatex/quiz/,,
,GULLIVER'S TRAVELS Jonathan Swift,https://www.sparknotes.com/lit/gulliver/quiz/,http://www.gutenberg.org/cache/epub/17157/pg17157.txt,
,HAMLET William Shakespeare,https://www.sparknotes.com/shakespeare/hamlet/quiz/,http://www.gutenberg.org/cache/epub/2265/pg2265.txt,
,HARD TIMES Charles Dickens,https://www.sparknotes.com/lit/hardtimes/quiz/,https://www.gutenberg.org/files/786/786-0.txt,
,HEART OF DARKNESS Joseph Conrad,https://www.sparknotes.com/lit/heart/quiz/,https://www.gutenberg.org/files/219/219-0.txt,
6963fca5fa63778623b93b656f9da7389aad065c,HEDDA GABLER Henrik Ibsen,https://www.sparknotes.com/lit/heddagabler/quiz/,,
,HENRY V William Shakespeare,https://www.sparknotes.com/shakespeare/henryv/quiz/,,
,THE HOUSE OF MIRTH Edith Wharton,,http://www.gutenberg.org/cache/epub/284/pg284.txt,
,THE HOUSE OF THE SEVEN GABLES Nathaniel Hawthorne,https://www.sparknotes.com/lit/sevengables/quiz/,http://www.gutenberg.org/cache/epub/77/pg77.txt,
,THE IDIOT Fyodor Dostoevsky,https://www.sparknotes.com/lit/idiot/quiz/,https://www.gutenberg.org/files/2638/2638-0.txt,
,,,,
,THE ILIAD Homer,https://www.sparknotes.com/lit/iliad/quiz/,https://www.gutenberg.org/files/16452/16452-0.txt,
,THE IMPORTANCE OF BEING EARNEST Oscar Wilde,,http://www.gutenberg.org/cache/epub/844/pg844.txt,
aa38d6df737e5d8893dc9749f5d5aaf1f93da2c6,INCIDENTS IN THE LIFE OF A SLAVE GIRL Harriet A. Jacobs,https://www.sparknotes.com/lit/incidents/characters/?quickquiz_id=3534,,
,IVANHOE Sir Walter Scott,,https://www.gutenberg.org/files/82/82-0.txt,
,JANE EYRE Charlotte Brontë,https://www.sparknotes.com/lit/janeeyre/quiz/,,
,,,,
6fe349aaec027415d3cf64f2e667ea425908f004,JUDE THE OBSCURE Thomas Hardy,,,
,JULIUS CAESAR William Shakespeare,https://www.sparknotes.com/shakespeare/juliuscaesar/quiz/,https://www.gutenberg.org/files/1522/1522-0.txt,
,THE JUNGLE Upton Sinclair,,https://www.gutenberg.org/files/140/140-0.txt,
,"KING HENRY IV, PART 1 William Shakespeare",,http://www.gutenberg.org/cache/epub/1780/pg1780.txt,
,KING LEAR William Shakespeare,https://www.sparknotes.com/shakespeare/lear/quiz/,http://www.gutenberg.org/cache/epub/1128/pg1128.txt,
518bfcb6ea413715080cbd6f97aa479ac5f6c7d3,THE LAST OF THE MOHICANS James Fenimore Cooper,,,
,,,,
336e272847df32ee6f87eca63ee800c5add03639,LES MISERABLES Victor Hugo,,,
9e82564a36eb80df18284bc5566221a05e87c28b,LORD JIM Joseph Conrad,,,
,LOVE'S LABOUR'S LOST William Shakespeare,https://www.sparknotes.com/shakespeare/labours/summary/?quickquiz_id=5160,http://www.gutenberg.org/cache/epub/1109/pg1109.txt,
,MACBETH William Shakespeare,https://www.sparknotes.com/shakespeare/macbeth/quiz/,https://www.gutenberg.org/files/1533/1533-0.txt,
67161aa1a00a7151b4b0d43229d177363f8c5568,MADAME BOVARY Gustave Flaubert,,,
a71ea0ede601f09b48d88dbe9c060c60709a3a1c,MAIN STREET Sinclair Lewis,,,
922275a51723aed2075982860a49f986fee2a2e5,MAJOR BARBARA George Bernard Shaw,,,
,,,,
,THE MAYOR OF CASTERBRIDGE Thomas Hardy,https://www.sparknotes.com/lit/casterbridge/quiz/,https://www.gutenberg.org/files/143/143-0.txt,
,MEASURE FOR MEASURE William Shakespeare,,http://www.gutenberg.org/cache/epub/1126/pg1126.txt,
