document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,answera,answerb,answerc,answerd
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What is the sourceof the fortune that Judge Thatcher is keeping in trust for Huck?,A robber’s stash that Huck and Tom foundin a	cave,A robber’s stash that Huck and Tom foundin a	cave,What is the sourceof the fortune that Judge Thatcher is keeping in trust for Huck?,A robber’s stash that Huck and Tom foundin a cave,A robber’s stash that Huck and Tom foundin a cave,Buried treasure,Huck’s father’s life insurance policy,A robber’s stash that Huck and Tom foundin a	cave,An inheritance from Huck’s mother
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,"At the end ofthe novel, which character informs the others that Jim is actuallya free man?",Tom,Tom,"At the end ofthe novel, which character informs the others that Jim is actuallya free man?",Tom,Tom,Aunt Polly,Tom,Huck,Sid
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Which of the followingsymbolizes bad luck to Huck and Jim?,A shed snakeskin,A shed snakeskin,Which of the followingsymbolizes bad luck to Huck and Jim?,A shed snakeskin,A shed snakeskin,A shed snakeskin,Jim’s hairy chest,Rain,The wrecked steamboat
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Which Wilks sisteris initially suspicious of Huck?,Joanna,Joanna,Which Wilks sisteris initially suspicious of Huck?,Joanna,Joanna,Mary Jane,Susan,Joanna,Sophia
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How does Huckknow that Pap has returned to St. Petersburg?,He sees Pap’s boot print in the snow,He sees Pap’s boot print in the snow,How does Huckknow that Pap has returned to St. Petersburg?,He sees Pap’s boot print in the snow,He sees Pap’s boot print in the snow,Tom tells him,Pap visits Judge Thatcher to demand Huck’s money,The authorities determine that the corpse found inthe	river is not Pap,He sees Pap’s boot print in the snow
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What is the nameof the wrecked steamboat on which Huck and Jim encounter the robbers?,The Walter Scott,The Walter Scott,What is the nameof the wrecked steamboat on which Huck and Jim encounter the robbers?,The Walter Scott,The Walter Scott,The Royal Nonesuch,The Walter Scott,The Mississippi Queen,The New Orleans
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What is Jim’sinitial destination when he and Huck start downriver?,The Ohio River,The Ohio River,What is Jim’sinitial destination when he and Huck start downriver?,The Ohio River,The Ohio River,New Orleans,An Arkansas plantation,St. Louis,The Ohio River
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Where does Huckhide the Wilks family gold?,In Peter Wilks’s coffin,In Peter Wilks’s coffin,Where does Huckhide the Wilks family gold?,In Peter Wilks’s coffin,In Peter Wilks’s coffin,In Peter Wilks’s coffin,In the basement,In a mattress,In an old cabin in the woods
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Down which riverdo Huck and Jim travel?,The Mississippi,The Mississippi,Down which riverdo Huck and Jim travel?,The Mississippi,The Mississippi,The Missouri,The Mississippi,The Ohio,The Chattahoochee
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What event setsoff the final gunfight between the Shepherdsons and the Grangerfords?,Sophia Grangerford’s elopement with aShepherdson,Sophia Grangerford’s elopement with aShepherdson,What event setsoff the final gunfight between the Shepherdsons and the Grangerfords?,Sophia Grangerford’s elopement with aShepherdson,Sophia Grangerford’s elopement with aShepherdson,The death of Harney Shepherdson,The theft of the Grangerfords’ cattle,Sophia Grangerford’s elopement with aShepherdson,An insult to Colonel Grangerford
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How do Huck andJim initially acquire the raft?,They find it during a flood.,They find it during a flood.,How do Huck andJim initially acquire the raft?,They find it during a flood.,They find it during a flood.,They steal it.,They build it.,They buy it from a slave trader.,They find it during a flood.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What does the“witch pie” that Huck and Tom bake for Jim contain?,A rope ladder,A rope ladder,What does the“witch pie” that Huck and Tom bake for Jim contain?,A rope ladder,A rope ladder,A rope ladder,A pen made from a brass candlestick,An old shirt and a spoon,A dead snake
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,How do the dukeand the dauphin dress Jim so that he can stay on the raft withoutbeing tied up?,As a sick Arab,As a sick Arab,How do the dukeand the dauphin dress Jim so that he can stay on the raft withoutbeing tied up?,As a sick Arab,As a sick Arab,As a young girl,As a sick Arab,As a camel,As a Shakespearean actor
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,"What is the nameof the town where Huck, Jim, and Tom live at the novel’s opening?",St. Petersburg,St. Petersburg,"What is the nameof the town where Huck, Jim, and Tom live at the novel’s opening?",St. Petersburg,St. Petersburg,Cairo,St. Louis,Pikesville,St. Petersburg
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Why does Jimrun away from Miss Watson’s?,"She is planning to sell him, which wouldseparate him from his family.","She is planning to sell him, which wouldseparate him from his family.",Why does Jimrun away from Miss Watson’s?,"She is planning to sell him, which wouldseparate him from his family.","She is planning to sell him, which wouldseparate him from his family.",She treats him poorly.,"She is planning to sell him, which wouldseparate him from his family.",He wants to see relatives in New Orleans.,He wants to help Huck escape his father.
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,What charm doesJim wear around his neck that he says cures sickness?,A five-cent piece,A five-cent piece,What charm doesJim wear around his neck that he says cures sickness?,A five-cent piece,A five-cent piece,A silver key,A five-cent piece,A snake tooth,A rabbit’s foot
f5f30064-0b24-11ea-9221-c9dc32036b5d,test,Which of thefollowing is the primary influence on Tom Sawyer?,Adventure novels,Adventure novels,Which of thefollowing is the primary influence on Tom Sawyer?,Adventure novels,Adventure novels,His Aunt Polly,Sunday school,Adventure novels,Abolitionist speeches
